time,x,y,z,gforce
5.620,-0.028,0.006,0.990,0.990
5.635,-0.026,0.003,0.984,0.984
5.636,-0.029,0.003,0.985,0.986
5.648,-0.029,-0.003,0.980,0.980
5.663,-0.028,-0.003,0.976,0.976
5.741,-0.032,-0.003,0.977,0.978
5.766,-0.032,-0.001,0.977,0.978
5.768,-0.035,0.008,1.026,1.026
5.771,-0.036,-0.008,1.038,1.039
5.796,-0.065,-0.010,0.871,0.874
5.798,-0.096,0.029,0.838,0.844
5.820,-0.036,0.032,1.023,1.024
5.825,0.010,-0.022,1.110,1.111
5.891,0.013,-0.033,1.033,1.033
5.933,-0.033,-0.003,0.940,0.940
5.935,-0.058,0.032,0.913,0.916
