time,x,y,z,gforce
4.251,0.04,0.01,-0.23
4.265,-0.01,-0.02,-0.22
4.281,0.01,-0.02,-0.17
4.529,0.00,-0.02,-0.15
4.531,-0.02,-0.02,-0.13
4.533,-0.06,-0.01,-0.16
4.539,0.00,0.01,-0.20
4.540,0.00,0.01,-0.22
4.541,0.00,-0.02,-0.23
4.542,0.00,0.01,-0.23
4.543,-0.03,-0.01,-0.22
4.543,0.03,-0.01,-0.22
4.545,0.03,-0.02,-0.23
4.546,0.01,-0.04,-0.16
4.564,0.05,-0.04,-0.11
4.585,-0.03,0.00,-0.19
4.609,-0.03,-0.04,-0.20
4.610,-0.03,-0.03,-0.20
4.621,-0.03,-0.03,-0.22
4.638,0.00,-0.02,-0.11
4.659,0.07,0.01,-0.16
4.701,0.03,0.01,-0.20
4.715,-0.00,-0.03,-0.15
4.722,-0.01,-0.03,-0.22
4.750,-0.03,-0.03,-0.20
4.783,-0.02,-0.03,-0.15
4.793,-0.03,-0.03,-0.20
4.807,-0.01,-0.03,-0.16
4.825,0.03,-0.01,-0.20
4.880,0.01,-0.01,-0.22
4.947,-0.02,0.02,-0.20
5.010,0.01,-0.16,-0.13
5.011,0.10,-0.04,-0.26
5.012,0.04,-0.04,-0.22
5.051,-0.07,-0.04,-0.20
5.053,-0.11,-0.05,-0.26
5.054,-0.03,-0.05,-0.16
5.055,0.12,-0.05,-0.16
5.056,0.08,0.01,-0.18
5.109,-0.05,0.01,-0.16
5.132,-0.04,0.01,-0.23
5.133,-0.04,-0.01,-0.12
5.161,-0.00,0.01,-0.19
5.162,0.03,-0.00,-0.23
5.173,0.04,0.01,-0.16
5.189,0.05,-0.00,-0.20
5.212,0.04,0.01,-0.18
5.233,0.05,0.01,-0.20
5.255,0.02,0.04,-0.20
5.281,-0.03,0.04,-0.20
5.319,-0.04,0.01,-0.18
5.331,-0.03,-0.00,-0.15
5.341,-0.03,0.01,-0.20
5.357,-0.05,0.01,-0.18
5.378,-0.05,0.01,-0.11
5.418,-0.03,0.01,-0.18
5.431,-0.01,-0.00,-0.24
5.448,-0.04,0.01,-0.28
5.480,0.05,0.01,-0.24
5.493,0.04,0.01,-0.23
